Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u
D:\urban\sg500\1\01.bmp;42;62.9261;69.6675;71.4521;1003;914;717;671;586;423;363;353;288;234;207;175;135;110;91;84;0;0;0;157.065;180;77.6013;81.7797;1;1;1;1;1;1;0;0;1251;275;387;864;1067;1486;260;469;776;853;456;299;819;1336;934;108;333;1306;1468;629
D:\urban\sg500\1\01.bmp;43;99.462;98.0778;95.9964;982;937;856;819;779;643;522;493;402;360;294;226;199;186;162;160;129;124;102;96.2901;0;81.8165;96.608;1;1;1;0;0;0;0;0;503;382;1708;127;1124;403;130;2048;87;1176;46;132;2397;107;1162;15;50;2542;25;1212
D:\urban\sg500\1\01.bmp;44;48.103;58.4592;60.4131;883;714;628;546;482;412;332;303;272;212;164;136;92;90;77;64;37;0;0;177.333;180;46.4194;46.496;0;0;0;0;0;0;0;0;727;99;108;898;2012;626;122;80;970;2046;250;183;132;986;2293;0;29;0;1037;2778
D:\urban\sg500\1\01.bmp;45;43.1626;53.9363;57.0715;716;620;405;292;204;170;168;157;110;110;104;101;76;71;66;65;45;44;44;183.732;180;42.1723;42.9439;0;0;0;0;0;0;0;0;301;81;138;512;2812;230;76;174;457;2907;116;113;233;391;2991;0;158;0;451;3235
D:\urban\sg500\1\01.bmp;46;67.1199;77.7214;75.2008;808;686;636;594;554;452;423;373;305;273;199;167;159;127;79;79;77;50;41;157.035;180;54.4276;59.6213;4;2;1;4;2;1;0;0;1366;137;273;684;1384;1496;141;315;560;1332;816;272;832;448;1476;356;157;1466;495;1370
D:\urban\sg500\1\01.bmp;47;90.7981;91.661;93.051;953;919;893;853;846;779;773;720;710;693;661;553;549;536;424;394;304;302;269;162.368;0;108.292;111.732;7;5;3;1;1;1;685;0;1252;566;1022;373;631;1281;479;1274;186;624;919;536;1959;14;416;637;2;3205;0;0
D:\urban\sg500\1\01.bmp;48;76.6756;76.6876;79.6951;852;816;789;783;763;735;692;673;636;619;613;459;440;400;375;373;293;243;140;207.191;0;93.6032;105.767;3;2;1;2;1;1;655;0;1346;771;787;763;177;1247;866;885;714;132;880;1316;1208;391;49;512;964;2033;335;0
D:\urban\sg500\1\01.bmp;49;56.0466;58.1748;62.6251;872;819;724;706;697;679;644;641;610;568;527;436;350;341;337;336;333;325;199;215.836;300;74.5379;75.7284;0;0;0;0;0;0;913;0;1111;699;171;1739;124;1029;933;100;1703;79;846;1237;156;1585;20;608;998;352;1886;0
D:\urban\sg500\1\01.bmp;50;57.1147;61.1197;63.1459;806;699;517;457;368;290;271;184;155;141;131;122;104;34;29;26;23;23;22;141.359;0;92.1225;135.992;0;0;0;0;0;0;0;0;555;13;511;948;1817;890;49;461;737;1707;208;120;96;1054;2366;388;134;0;832;2490
D:\urban\sg500\1\01.bmp;51;46.8119;54.2053;57.2188;950;882;781;697;608;567;492;412;372;164;137;112;108;107;81;68;61;60;60;189.056;180;45.9632;49.6772;0;0;0;0;0;0;0;0;1540;41;20;1300;943;1558;53;39;1417;777;215;144;40;2497;948;0;68;3;3070;703
